College Name,Code
"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",6782
"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",6758
"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.",6545
"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",6635
"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",4139
"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",5331
"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",5109
"Sanghavi College of Engineering, Varvandi, Nashik.",5399
"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",5160
"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",4133
"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",4143
"Sanmati Engineering College, Sawargaon Barde, Washim",1180
"Sant Gadge Baba Amravati University,Amravati",1005
"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",6803
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",3154
"Saraswati Education Society, Yadavrao Tasgaonkar  Institute of Engineering & Technology, Karjat",Auto
"Sardar Patel College of Engineering, Andheri",3014
"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",6319
"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)",6308
"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",6317
"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",6269
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",3193
"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj",6799
"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",6275
"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",5104
"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",6322
"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",3423
"Shree Ramchandra College of Engineering, Lonikand,Pune",6759
"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",6466
Shree Siddheshwar Women's College Of Engineering Solapur.,6938
"Shree Tuljabhavani College of Engineering, Tuljapur",2131
"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",2112
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",2020
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",1121
"Shri Ramdeobaba College of Engineering and Management, Nagpur",4115
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",1101
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",1116
"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",5103
"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",5449
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",3199
"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",6220
"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",6644
"Shri. Balasaheb Mane Shikshan  Prasarak Mandal's, Ashokrao Mane Group of Institutions",6217
"Shri. Dadasaheb Gawai Charitable Trust 's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology , Darapur, Amravati",1126
"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",5381
"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",4144
"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology , Someshwar Nagar",6795
"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",4141
"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune",6149
"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",1268
"Sinhagad Institute of Technology, Lonavala",6185
"Sinhgad Academy of Engineering, Kondhwa (BK)  Kondhwa-Saswad Road, Pune",6187
"Sinhgad College of Engineering, Vadgaon (BK), Pune",6177
